"sample_name","artifact_id","glass_type","class_name","cluster_id","pc1","pc2","pc1_explained","pc2_explained"
"01",1,"高钾","high_potassium",1,-1.92224492408543,-1.03932587707181,0.473641611100062,0.271981273633957
"03部位1",3,"高钾","high_potassium",2,0.354805465422032,0.209230589683155,0.473641611100062,0.271981273633957
"03部位2",3,"高钾","high_potassium",4,3.02250006304203,-0.896328469751249,0.473641611100062,0.271981273633957
"04",4,"高钾","high_potassium",1,-1.87650339653202,-1.02351893616537,0.473641611100062,0.271981273633957
"05",5,"高钾","high_potassium",1,-1.95978622011483,-1.11349608744897,0.473641611100062,0.271981273633957
"06部位1",6,"高钾","high_potassium",4,1.92633978694903,-0.930882845800773,0.473641611100062,0.271981273633957
"06部位2",6,"高钾","high_potassium",4,2.11934856381524,-0.810514621335953,0.473641611100062,0.271981273633957
"07",7,"高钾","high_potassium",2,-0.703396206674922,-0.0771026078810027,0.473641611100062,0.271981273633957
"09",9,"高钾","high_potassium",2,-0.696199345028065,-0.0859772090082821,0.473641611100062,0.271981273633957
"10",10,"高钾","high_potassium",2,-0.742509751022622,-0.0607360827482931,0.473641611100062,0.271981273633957
"12",12,"高钾","high_potassium",2,-0.695119621403839,-0.085619778899546,0.473641611100062,0.271981273633957
"13",13,"高钾","high_potassium",3,-0.6203736524909,2.1079522709484,0.473641611100062,0.271981273633957
"14",14,"高钾","high_potassium",3,1.09932960384517,2.72477375998447,0.473641611100062,0.271981273633957
"16",16,"高钾","high_potassium",3,0.0175638825898182,2.19385907212062,0.473641611100062,0.271981273633957
"18",18,"高钾","high_potassium",2,-0.606530111685513,-0.113574502687245,0.473641611100062,0.271981273633957
"21",21,"高钾","high_potassium",4,2.62060910872104,-0.801447034199591,0.473641611100062,0.271981273633957
"22",22,"高钾","high_potassium",2,-0.651190503091775,-0.108105486029638,0.473641611100062,0.271981273633957
"27",27,"高钾","high_potassium",2,-0.686642742254451,-0.0891861537089264,0.473641611100062,0.271981273633957
