"artifact_id","component","current_weathered","restored_leaveout","observed_unweathered"
"49","component_1",30.1224795811518,64.5654438834334,55.5550020358306
"49","component_2",0.02,0.0361439348088699,0.02
"49","component_3",0.02,0.06746576938662,0.305191368078176
"49","component_4",4.79197486910995,1.62640950082882,2.11599348534202
"49","component_5",1.53803560209424,2.10315939707967,1.2207654723127
"49","component_6",5.62900104712042,8.2167094385707,6.61247964169381
"49","component_7",2.86681465968586,0.25003958301984,1.29197679153094
"49","component_8",0.732397905759162,0.260591430215312,0.457787052117264
"49","component_9",35.7619434554974,17.7024291232931,23.4183509771987
"49","component_10",6.38232460732984,4.2627813729484,4.26250610749186
"49","component_11",11.6137382198953,0.565995097944113,4.39475570032573
"49","component_12",0.481290052356021,0.307528349804399,0.305191368078176
"49","component_13",0.02,0.0187836863629944,0.02
"49","component_14",0.02,0.0165194323037334,0.02
"50","component_1",19.9241610291671,49.578260833146,46.3946564885496
"50","component_2",0.02,0.0419601713184446,0.02
"50","component_3",0.02,0.0994682097091052,0.02
"50","component_4",3.53493179549739,1.39283038351776,3.21526717557252
"50","component_5",0.520820672063879,0.900006145800446,0.556488549618321
"50","component_6",2.07220139736054,3.05214316233263,4.28702290076336
"50","component_7",0.365682599534213,0.105283137337103,0.02
"50","component_8",1.25218587113231,0.444679633903811,0.721374045801527
"50","component_9",48.7576799378951,26.4987322179009,31.5446564885496
"50","component_10",15.7354330708661,16.8623699723101,6.40992366412214
"50","component_11",7.02553842741488,0.397486216388192,6.53358778625954
"50","component_12",0.731365199068426,0.586076969900284,0.237022900763359
"50","component_13",0.02,0.0218063335370381,0.02
"50","component_14",0.02,0.0188966128981695,0.02
