"glass_type","component","median_log_change","lower95","upper95","posterior_increase"
"高钾","component_1",0.207395359794836,0.152066236271652,0.266937788775596,1
"高钾","component_2",-0.241022235213421,-1.22976008210871,0.667426861527685,0.304
"高钾","component_3",-2.02693549235847,-2.8055520641641,-1.4163000493688,0
"高钾","component_4",-0.765160172468318,-1.5964182191893,-0.201256002009575,0.00466666666666667
"高钾","component_5",-0.959221253602504,-1.84036847288233,-0.0741516304802677,0.016
"高钾","component_6",-1.0667239009603,-1.7622754609548,-0.47217494340667,0.00133333333333333
"高钾","component_7",-0.598728921703641,-1.5553568799427,0.293857973158638,0.09
"高钾","component_8",-0.216214721196181,-1.09405901267586,0.524492737518768,0.263333333333333
"高钾","component_9",-0.489395520240545,-1.66398323290442,0.377958311129456,0.165333333333333
"高钾","component_10",-0.427493524244159,-1.3850152387024,0.600772828516932,0.208666666666667
"高钾","component_11",-0.686933769451693,-1.71261450566583,0.244095811598733,0.078
"高钾","component_12",-0.208623325402543,-1.15812919249667,0.622667381152666,0.317333333333333
"高钾","component_13",-0.184993952745891,-1.23636353244553,0.652264196255139,0.351333333333333
"高钾","component_14",-0.253340766805091,-1.31202211498707,0.735989074777335,0.312
"铅钡","component_1",-0.73042741626543,-0.862182944981189,-0.60268619402882,0
"铅钡","component_2",-0.388977742596489,-0.884760223652059,0.212335154732482,0.100666666666667
"铅钡","component_3",-0.146621867599701,-0.658175679012107,0.360371134167435,0.284666666666667
"铅钡","component_4",0.633167526339791,0.128537242959509,1.0820509099069,0.993333333333333
"铅钡","component_5",-0.0471482277357177,-0.62060662847914,0.50976957298336,0.434666666666667
"铅钡","component_6",-0.25377824047843,-0.657922197323155,0.151950814986853,0.134666666666667
"铅钡","component_7",0.162223230075851,-0.382305408615781,0.698218485109439,0.736666666666667
"铅钡","component_8",0.30633064543135,-0.179431584071408,0.778386231043151,0.879333333333333
"铅钡","component_9",0.770726375076871,0.611987884156723,0.929285882234756,1
"铅钡","component_10",-0.187369434664845,-0.510583918334119,0.119758083771512,0.122
"铅钡","component_11",1.12882288017626,0.631443873754182,1.64053870270698,1
"铅钡","component_12",0.260489095161013,-0.221390409597232,0.777075031964215,0.840666666666667
"铅钡","component_13",-0.0268449186180824,-0.549240729965904,0.524407124550177,0.466666666666667
"铅钡","component_14",0.169950465711158,-0.408120761416933,0.712720222456276,0.726666666666667
