"glass_type","component","unweathered_center","weathered_center","log_change"
"高钾","component_1",69.1494800034468,94.6436452194047,0.313848197368907
"高钾","component_2",0.0217430875142045,0.0199596904479434,-0.0855811294388035
"高钾","component_3",10.8426863822584,0.566688092793744,-2.9514370140587
"高钾","component_4",5.987653150292,0.810056612220274,-2.00035068287477
"高钾","component_5",0.996542106448115,0.0251776127890955,-3.67833617481079
"高钾","component_6",6.98526048375397,1.81313536363308,-1.34874469211689
"高钾","component_7",2.08488402753355,0.274378989630806,-2.02795818588049
"高钾","component_8",2.3782709473603,1.51494126772693,-0.450997059920995
"高钾","component_9",0.16357159000491,0.0199596904479434,-2.10353599171913
"高钾","component_10",0.0359322588772347,0.0199596904479434,-0.587920705841086
"高钾","component_11",1.2564251522331,0.232218699113742,-1.68834619052482
"高钾","component_12",0.0524973507517185,0.0199596904479434,-0.967047944309318
"高钾","component_13",0.0213857196904966,0.0199596904479434,-0.0690086329558802
"高钾","component_14",0.0236677398352123,0.0199596904479434,-0.170398170351972
"铅钡","component_1",60.6283285467384,26.4945289373904,-0.827823995129655
"铅钡","component_2",0.0409138468280995,0.0244954241130632,-0.512982229795356
"铅钡","component_3",0.199816545631352,0.0461882581541269,-1.46467406047614
"铅钡","component_4",1.00837492361067,2.8474165352775,1.03807205581004
"铅钡","component_5",0.851871256003332,0.547699299826637,-0.441708994033653
"铅钡","component_6",4.1855632222337,2.86201634957742,-0.380114882306553
"铅钡","component_7",0.0391518287365052,0.437108174773904,2.41273357162339
"铅钡","component_8",0.636236558944826,1.71940227540067,0.994161552897418
"铅钡","component_9",22.747596276576,47.5026037038267,0.736325042713463
"铅钡","component_10",9.06517024892536,11.6930235153588,0.254552758281258
"铅钡","component_11",0.273082612362847,5.3686562305882,2.97855856100333
"铅钡","component_12",0.276870567747858,0.405599207137472,0.381815364948672
"铅钡","component_13",0.023631122713988,0.0244954241130632,0.0359217269115907
"铅钡","component_14",0.0233924429470571,0.0267666644619669,0.134744230693945
