"sample_name","artifact_id","glass_type","component","point_level","is_extrapolation","predicted_unweathered"
"07","07","高钾","component_1",1,FALSE,71.7039732130882
"07","07","高钾","component_2",1,FALSE,0.0230505924036424
"07","07","高钾","component_3",1,FALSE,0.404862439777778
"07","07","高钾","component_4",1,FALSE,8.37951993558745
"07","07","高钾","component_5",1,FALSE,0.83752114847694
"07","07","高钾","component_6",1,FALSE,8.08186636320436
"07","07","高钾","component_7",1,FALSE,1.36859222499736
"07","07","高钾","component_8",1,FALSE,5.3889560548004
"07","07","高钾","component_9",1,FALSE,0.173407849623735
"07","07","高钾","component_10",1,FALSE,0.0380930193552412
"07","07","高钾","component_11",1,FALSE,3.49674020077213
"07","07","高钾","component_12",1,FALSE,0.0556542410850514
"07","07","高钾","component_13",1,FALSE,0.022671734523542
"07","07","高钾","component_14",1,FALSE,0.0250909823041701
"09","09","高钾","component_1",1,FALSE,70.6610274825891
"09","09","高钾","component_2",1,FALSE,0.022155077871627
"09","09","高钾","component_3",1,FALSE,11.4897950750445
"09","09","高钾","component_4",1,FALSE,4.66444971308055
"09","09","高钾","component_5",1,FALSE,0.804983487570108
"09","09","高钾","component_6",1,FALSE,5.17599407954838
"09","09","高钾","component_7",1,FALSE,2.47484777071522
"09","09","高钾","component_8",1,FALSE,2.47665033420788
"09","09","高钾","component_9",1,FALSE,0.16667096205988
"09","09","高钾","component_10",1,FALSE,0.036613107177558
"09","09","高钾","component_11",1,FALSE,1.92741369662773
"09","09","高钾","component_12",1,FALSE,0.0534920761919671
"09","09","高钾","component_13",1,FALSE,0.0217909386040142
"09","09","高钾","component_14",1,FALSE,0.0241161987115204
"10","10","高钾","component_1",1,FALSE,72.5220043522124
"10","10","高钾","component_2",1,FALSE,0.0223407880802506
"10","10","高钾","component_3",1,FALSE,18.0556128509764
"10","10","高钾","component_4",1,FALSE,1.59217996950405
"10","10","高钾","component_5",1,FALSE,0.811731089735239
"10","10","高钾","component_6",1,FALSE,3.20087705965654
"10","10","高钾","component_7",1,FALSE,2.0264504798785
"10","10","高钾","component_8",1,FALSE,1.35262191123061
"10","10","高钾","component_9",1,FALSE,0.168068045803615
"10","10","高钾","component_10",1,FALSE,0.0369200087290534
"10","10","高钾","component_11",1,FALSE,0.110961038007177
"10","10","高钾","component_12",1,FALSE,0.0539404620964032
"10","10","高钾","component_13",1,FALSE,0.0219735964929958
"10","10","高钾","component_14",1,FALSE,0.0243183475967501
"12","12","高钾","component_1",1,FALSE,65.0677767460995
"12","12","高钾","component_2",1,FALSE,0.020518103951807
"12","12","高钾","component_3",1,FALSE,18.2522771687705
"12","12","高钾","component_4",1,FALSE,5.02662668318453
"12","12","高钾","component_5",1,FALSE,0.745505611542167
"12","12","高钾","component_6",1,FALSE,5.312612080537
"12","12","高钾","component_7",1,FALSE,2.08128675277682
"12","12","高钾","component_8",1,FALSE,2.44654017134637
"12","12","高钾","component_9",1,FALSE,0.15435613203923
"12","12","高钾","component_10",1,FALSE,0.0339078717493408
"12","12","高钾","component_11",1,FALSE,0.766537781726012
"12","12","高钾","component_12",1,FALSE,0.0495397030994123
"12","12","高钾","component_13",1,FALSE,0.020180869869891
"12","12","高钾","component_14",1,FALSE,0.0223343233073941
"22","22","高钾","component_1",1,FALSE,49.0015317993967
"22","22","高钾","component_2",1,FALSE,0.0158414222858257
"22","22","高钾","component_3",1,FALSE,10.2825262174284
"22","22","高钾","component_4",1,FALSE,8.91096316352132
"22","22","高钾","component_5",1,FALSE,18.3965495346702
"22","22","高钾","component_6",1,FALSE,9.79254821459169
"22","22","高钾","component_7",1,FALSE,1.93140962301004
"22","22","高钾","component_8",1,FALSE,0.627051947266225
"22","22","高钾","component_9",1,FALSE,0.119173812345598
"22","22","高钾","component_10",1,FALSE,0.0261792666835389
"22","22","高钾","component_11",1,FALSE,0.825152131208881
