"glass_type","component","measure","median","lower95","upper95"
"高钾","component_1","unweathered_center",71.2466953635796,67.1860538908362,74.5879004342574
"高钾","component_2","unweathered_center",0.624141450859845,0.32219550351598,1.08221669796474
"高钾","component_3","unweathered_center",6.92228412347986,4.90139225957765,8.97063820611808
"高钾","component_4","unweathered_center",3.35614886166852,2.19360711729183,4.62507619689742
"高钾","component_5","unweathered_center",1.48148886624924,0.864229993631371,2.39508473707303
"高钾","component_6","unweathered_center",7.29301549358826,5.43589502207255,9.51197257979131
"高钾","component_7","unweathered_center",1.7108115565139,0.978090861007514,2.70870510771768
"高钾","component_8","unweathered_center",2.44648975511286,1.55636876090113,3.54805115930433
"高钾","component_9","unweathered_center",0.776292649044535,0.433125596554806,1.23479902399583
"高钾","component_10","unweathered_center",0.666601485855015,0.384275092646477,1.13874812888382
"高钾","component_11","unweathered_center",1.68287992185507,0.969433368437344,2.55241002596232
"高钾","component_12","unweathered_center",0.544678586334147,0.331248674389385,0.903026072468732
"高钾","component_13","unweathered_center",0.511942854828327,0.301026521338036,0.859241177379855
"高钾","component_14","unweathered_center",0.551476935036954,0.29288604002391,0.948891949421961
"高钾","component_1","weathered_center",87.6762253090642,84.4697270358233,90.3049109781113
"高钾","component_2","weathered_center",0.499132275781371,0.223857349631276,0.930892194861371
"高钾","component_3","weathered_center",0.899458707996432,0.44673724420987,1.63652322518935
"高钾","component_4","weathered_center",1.52305510751626,0.726206883473125,2.49199348690574
"高钾","component_5","weathered_center",0.575912831559833,0.264462056195922,1.12789093686336
"高钾","component_6","weathered_center",2.50295477564019,1.31715654873175,4.03518445195663
"高钾","component_7","weathered_center",0.942178248327986,0.39908459227099,1.72565275116869
"高钾","component_8","weathered_center",1.97315519347656,0.883808372229147,3.43084521077228
"高钾","component_9","weathered_center",0.466988148258,0.166835929119483,1.02871414273537
"高钾","component_10","weathered_center",0.443738791649352,0.186223005687784,0.939132398135814
"高钾","component_11","weathered_center",0.86194485183387,0.333877832072286,1.6224521647247
"高钾","component_12","weathered_center",0.458919271360868,0.179645308792985,0.891784553504824
"高钾","component_13","weathered_center",0.431893379273452,0.168700997384023,0.868961677587737
"高钾","component_14","weathered_center",0.432995670252016,0.165407499414225,0.905193852723538
"铅钡","component_1","unweathered_center",52.3719729572971,48.8509542448122,55.7500863978576
"铅钡","component_2","unweathered_center",1.20635251034534,0.762460177366311,1.72094993040079
"铅钡","component_3","unweathered_center",1.02585799314853,0.674804287640095,1.45772818518996
"铅钡","component_4","unweathered_center",1.91085589712067,1.30795611798708,2.68478354849412
"铅钡","component_5","unweathered_center",1.33120616417583,0.861685516162422,1.95047485489215
"铅钡","component_6","unweathered_center",5.01287516012448,3.62184949949312,6.5310215487358
"铅钡","component_7","unweathered_center",1.06624880545697,0.703971421866754,1.53937510363177
"铅钡","component_8","unweathered_center",1.89753917445739,1.28494343719875,2.65405647305317
"铅钡","component_9","unweathered_center",21.2669665931599,18.2930740973526,24.4687150159231
"铅钡","component_10","unweathered_center",8.76824336775526,6.9416589862257,10.8675823624204
"铅钡","component_11","unweathered_center",1.32220932153756,0.858472994196154,1.87659972094553
"铅钡","component_12","unweathered_center",1.12338285225151,0.780511328433318,1.58010603735126
"铅钡","component_13","unweathered_center",0.773943869233144,0.499345057143006,1.07364674710916
"铅钡","component_14","unweathered_center",0.726476535438059,0.467147018598794,1.06251974407609
"铅钡","component_1","weathered_center",25.1907903873054,22.2617944777879,28.1289520225854
"铅钡","component_2","weathered_center",0.823745835299608,0.553047853857229,1.16273449329148
"铅钡","component_3","weathered_center",0.882357673334295,0.6218428135392,1.26004824022685
"铅钡","component_4","weathered_center",3.57095695801907,2.56935723463254,4.70875520019358
"铅钡","component_5","weathered_center",1.25895995213846,0.870972372967687,1.82124016152704
"铅钡","component_6","weathered_center",3.90982799084526,2.84053769188574,5.03866119674887
"铅钡","component_7","weathered_center",1.26335641244215,0.861386261276769,1.7331477450912
"铅钡","component_8","weathered_center",2.56923816975906,1.86887519424713,3.46371688396102
"铅钡","component_9","weathered_center",45.9902623687986,42.1920407282407,49.4012297621556
"铅钡","component_10","weathered_center",7.25396996117906,5.64327319870177,9.05886233741978
"铅钡","component_11","weathered_center",4.07326796788209,2.97764649649651,5.32341735376444
"铅钡","component_12","weathered_center",1.46380212729275,0.951378462862435,2.15435177156941
"铅钡","component_13","weathered_center",0.757313800710374,0.493384400057288,1.06482917515156
"铅钡","component_14","weathered_center",0.863591497138381,0.565848353088066,1.25088229306385
