"glass_type","removed_artifact","component_j","component_k","baseline_r","loao_r","change","absolute_change","sign_same"
"高钾","01",1,2,0.0542545006671742,0.0314893857306004,-0.0227651149365738,0.0227651149365738,TRUE
"高钾","01",1,3,-0.348127284217064,-0.334637136256198,0.0134901479608661,0.0134901479608661,TRUE
"高钾","01",1,4,-0.13460653030799,-0.117045517647331,0.0175610126606584,0.0175610126606584,TRUE
"高钾","01",1,5,-0.387328019149632,-0.37755451144276,0.0097735077068718,0.0097735077068718,TRUE
"高钾","01",1,6,0.0687541337706304,0.0249513773552098,-0.0438027564154206,0.0438027564154206,TRUE
"高钾","01",1,7,-0.432323535703655,-0.420706404360473,0.0116171313431814,0.0116171313431814,TRUE
"高钾","01",1,8,0.199745898402592,0.220647711459789,0.0209018130571967,0.0209018130571967,TRUE
"高钾","01",1,9,-0.18926376967667,-0.242665596860593,-0.0534018271839228,0.0534018271839228,TRUE
"高钾","01",1,10,-0.219991014302309,-0.259267390751219,-0.0392763764489107,0.0392763764489107,TRUE
"高钾","01",1,11,-0.00878393227919905,0.00397069683745508,0.0127546291166541,0.0127546291166541,FALSE
"高钾","01",1,12,0.458939349700947,0.441805058760348,-0.0171342909405989,0.0171342909405989,TRUE
"高钾","01",1,13,0.606688684740374,0.600111194536028,-0.00657749020434617,0.00657749020434617,TRUE
"高钾","01",1,14,0.278223114673677,0.385795700232372,0.107572585558695,0.107572585558695,TRUE
"高钾","01",2,3,0.216578091954458,0.247212285684576,0.0306341937301183,0.0306341937301183,TRUE
"高钾","01",2,4,0.299405217375534,0.331518254973227,0.0321130375976929,0.0321130375976929,TRUE
"高钾","01",2,5,-0.403818226434411,-0.392747417239982,0.0110708091944286,0.0110708091944286,TRUE
"高钾","01",2,6,0.245441560562435,0.20449046095396,-0.0409510996084743,0.0409510996084743,TRUE
"高钾","01",2,7,-0.174797003463307,-0.154348674420248,0.0204483290430587,0.0204483290430587,TRUE
"高钾","01",2,8,-0.113022092951,-0.0944174466037835,0.0186046463472164,0.0186046463472164,TRUE
"高钾","01",2,9,0.0676838238118794,0.0197309572680258,-0.0479528665438536,0.0479528665438536,TRUE
"高钾","01",2,10,-0.514622611172821,-0.573396250094081,-0.0587736389212598,0.0587736389212598,TRUE
"高钾","01",2,11,-0.549886513397414,-0.544563958253847,0.00532255514356683,0.00532255514356683,TRUE
"高钾","01",2,12,-0.295837117005418,-0.379446338391019,-0.0836092213856009,0.0836092213856009,TRUE
"高钾","01",2,13,0.00951632385933851,-0.010943697327399,-0.0204600211867375,0.0204600211867375,FALSE
