"component_id","SiO2","Na2O","K2O","CaO","MgO","Al2O3","Fe2O3","CuO","PbO","BaO","P2O5","SrO","SnO2","SO2"
"component_1",1,0.531475748194014,-0.397316821465428,-0.329205366357069,-0.236326109391125,0.0485036119711042,-0.446852425180599,0.51702786377709,-0.114551083591331,0.188854489164087,-0.0815273477812178,0.384932920536636,0.92156862745098,0.500515995872033
"component_2",0.531475748194014,1,0.137254901960784,0.242518059855521,-0.5562435500516,0.199174406604747,-0.434468524251806,0.25077399380805,0.0670794633642931,-0.238390092879257,-0.318885448916409,-0.087719298245614,0.595459236326109,0.112487100103199
"component_3",-0.397316821465428,0.137254901960784,1,0.39938080495356,-0.0939112487100103,0.0980392156862745,-0.228070175438596,-0.52734778121775,-0.151702786377709,-0.593395252837977,0.00103199174406605,-0.226006191950464,-0.114551083591331,-0.0608875128998968
"component_4",-0.329205366357069,0.242518059855521,0.39938080495356,1,-0.205366357069143,0.147574819401445,0.0773993808049536,-0.114551083591331,-0.149638802889577,-0.638802889576883,-0.343653250773994,-0.884416924664603,-0.335397316821465,0.12280701754386
"component_5",-0.236326109391125,-0.5562435500516,-0.0939112487100103,-0.205366357069143,1,0.238390092879257,0.0505675954592363,-0.420020639834881,-0.248710010319917,-0.0505675954592363,0.168214654282766,0.0856553147574819,-0.201238390092879,-0.0546955624355005
"component_6",0.0485036119711042,0.199174406604747,0.0980392156862745,0.147574819401445,0.238390092879257,1,-0.463364293085655,-0.386996904024768,0.137254901960784,-0.201238390092879,0.279669762641899,-0.0835913312693498,0.0794633642930856,-0.213622291021672
"component_7",-0.446852425180599,-0.434468524251806,-0.228070175438596,0.0773993808049536,0.0505675954592363,-0.463364293085655,1,0.205366357069143,-0.18266253869969,0.178534571723426,0.12280701754386,-0.17234262125903,-0.568627450980392,-0.0546955624355005
"component_8",0.51702786377709,0.25077399380805,-0.52734778121775,-0.114551083591331,-0.420020639834881,-0.386996904024768,0.205366357069143,1,-0.242518059855521,0.240454076367389,-0.00103199174406605,0.166150670794634,0.345717234262126,0.479876160990712
"component_9",-0.114551083591331,0.0670794633642931,-0.151702786377709,-0.149638802889577,-0.248710010319917,0.137254901960784,-0.18266253869969,-0.242518059855521,1,0.591331269349845,-0.137254901960784,0.0196078431372549,-0.180598555211558,-0.686274509803922
"component_10",0.188854489164087,-0.238390092879257,-0.593395252837977,-0.638802889576883,-0.0505675954592363,-0.201238390092879,0.178534571723426,0.240454076367389,0.591331269349845,1,0.178534571723426,0.523219814241486,0.0588235294117647,-0.43859649122807
"component_11",-0.0815273477812178,-0.318885448916409,0.00103199174406605,-0.343653250773994,0.168214654282766,0.279669762641899,0.12280701754386,-0.00103199174406605,-0.137254901960784,0.178534571723426,1,0.368421052631579,0.0237358101135191,-0.13312693498452
"component_12",0.384932920536636,-0.087719298245614,-0.226006191950464,-0.884416924664603,0.0856553147574819,-0.0835913312693498,-0.17234262125903,0.166150670794634,0.0196078431372549,0.523219814241486,0.368421052631579,1,0.457172342621259,-0.021671826625387
"component_13",0.92156862745098,0.595459236326109,-0.114551083591331,-0.335397316821465,-0.201238390092879,0.0794633642930856,-0.568627450980392,0.345717234262126,-0.180598555211558,0.0588235294117647,0.0237358101135191,0.457172342621259,1,0.407636738906089
"component_14",0.500515995872033,0.112487100103199,-0.0608875128998968,0.12280701754386,-0.0546955624355005,-0.213622291021672,-0.0546955624355005,0.479876160990712,-0.686274509803922,-0.43859649122807,-0.13312693498452,-0.021671826625387,0.407636738906089,1
