"component_id","SiO2","Na2O","K2O","CaO","MgO","Al2O3","Fe2O3","CuO","PbO","BaO","P2O5","SrO","SnO2","SO2"
"component_1",0,0.333269456945205,0.576924889976307,0.22105209408228,0.418801643082842,0.454815502406627,0.441288544377737,0.278553609842767,0.267502690390658,0.236985037687581,0.434100914475536,0.864353918077748,0.443903213915869,0.67206870889849
"component_2",0.333269456945205,0,0.15686946073043,0.606113007665127,0.375481860654859,0.0489207898492558,0.0700665510418986,0.119952867989367,0.247201553419904,0.62656370440239,0.106113411528371,0.195453223104342,0.0971037127647202,0.06064447756951
"component_3",0.576924889976307,0.15686946073043,0,0.226510419478438,0.145447609788649,0.506150960260332,0.206901288799353,0.254025776219149,0.10544231772362,0.319930448302511,0.0847376578193904,0.284501406563675,0.00472803782228916,0.157218217740718
"component_4",0.22105209408228,0.606113007665127,0.226510419478438,0,0.286651462108945,0.160326318456853,0.0310182569837346,0.691602569624281,0.135129231487107,0.320804029739742,0.582935433251499,0.77215241283864,0.555305352768499,0.183048167494638
"component_5",0.418801643082842,0.375481860654859,0.145447609788649,0.286651462108945,0,0.210462522650806,0.0694391164270579,0.229616917341037,0.199293675419952,0.709231496717181,0.117408867599128,0.0349473734192962,0.0242518956594772,0.632863243174745
"component_6",0.454815502406627,0.0489207898492558,0.506150960260332,0.160326318456853,0.210462522650806,0,0.598215628453054,0.0672950309420887,0.349554776151995,0.148303040528549,0.534215066327502,0.408016523071597,0.0828071155889984,0.351960484819732
"component_7",0.441288544377737,0.0700665510418986,0.206901288799353,0.0310182569837346,0.0694391164270579,0.598215628453054,0,1.05394444559232,0.165160591995207,0.590698646295373,0.122222491377361,0.190365185262859,0.916204888165197,0.512105304147894
"component_8",0.278553609842767,0.119952867989367,0.254025776219149,0.691602569624281,0.229616917341037,0.0672950309420887,1.05394444559232,0,0.294421267006218,0.108344487024323,0.0656104702836125,0.225629336676782,0.0350490263480402,0.162292540953154
"component_9",0.267502690390658,0.247201553419904,0.10544231772362,0.135129231487107,0.199293675419952,0.349554776151995,0.165160591995207,0.294421267006218,0,0.652079260677909,0.349895170806852,0.215863303099947,0.219814825395818,0.701900329689606
"component_10",0.236985037687581,0.62656370440239,0.319930448302511,0.320804029739742,0.709231496717181,0.148303040528549,0.590698646295373,0.108344487024323,0.652079260677909,0,0.578946619202704,0.249359344269447,0.19582608526479,0.87458784703539
"component_11",0.434100914475536,0.106113411528371,0.0847376578193904,0.582935433251499,0.117408867599128,0.534215066327502,0.122222491377361,0.0656104702836125,0.349895170806852,0.578946619202704,0,0.140670347610947,0.36879804181557,0.124907518185944
"component_12",0.864353918077748,0.195453223104342,0.284501406563675,0.77215241283864,0.0349473734192962,0.408016523071597,0.190365185262859,0.225629336676782,0.215863303099947,0.249359344269447,0.140670347610947,0,0.745625129813942,0.233815120868876
"component_13",0.443903213915869,0.0971037127647202,0.00472803782228916,0.555305352768499,0.0242518956594772,0.0828071155889984,0.916204888165197,0.0350490263480402,0.219814825395818,0.19582608526479,0.36879804181557,0.745625129813942,0,0.306638452100175
"component_14",0.67206870889849,0.06064447756951,0.157218217740718,0.183048167494638,0.632863243174745,0.351960484819732,0.512105304147894,0.162292540953154,0.701900329689606,0.87458784703539,0.124907518185944,0.233815120868876,0.306638452100175,0
