sample_name,artifact_id,raw_sum,aitchison_distance,robust_outlier,CLR_1,CLR_2,CLR_3,CLR_4,CLR_5,CLR_6,CLR_7,CLR_8,CLR_9,CLR_10,CLR_11,CLR_12,CLR_13,CLR_14
01,01,97.61,3.76583137605795,0,4.87744699994999,-3.29664345690019,2.94015387965605,2.48228849515436,0.499307219662083,2.00720871287676,1.19245440022203,1.99182379403728,-3.29664345690019,-3.29664345690019,0.795573035805255,-3.29664345690019,-3.29664345690019,-0.303039252862855
02,02,99.89,7.56787735058116,0,4.05578543283248,-3.44780448311587,0.513308971754972,1.31466973695515,0.630033246063113,2.21023433831219,1.08509529531065,-0.88255484038107,4.32377374747503,-3.44780448311587,1.73708440337709,-1.19621239923611,-3.44780448311587,-3.44780448311587
03部位1,03,100,5.31914764187345,0,5.98163204313499,-2.39547264759173,3.16188307409859,2.21328409899177,-2.39547264759173,2.91633235053443,-2.39547264759173,1.26668801762229,0.1288550158009,-2.39547264759173,1.09963393295912,-2.39547264759173,-2.39547264759173,-2.39547264759173
03部位2,03,98.88,4.67764696456782,0,4.15236297720561,-3.89276903276219,2.54519117127703,1.79977161871264,0.134277000196876,1.73466507711106,0.800025206568706,1.65719481543506,0.37350668926271,1.08073860970439,-0.326757959066099,-2.27266810812141,-3.89276903276219,-3.89276903276219
04,04,96.06,3.70708548324754,0,4.8152960406026,-3.32375855955282,2.89648944475836,2.59036886071704,1.0721469565546,2.48998967540942,1.35016711809465,1.40678601209416,-3.32375855955282,-3.32375855955282,0.391738801772088,-3.32375855955282,-3.32375855955282,-0.394190112238824
05,05,96.51,3.80252313728134,0,4.56141356308693,-3.50566982073585,2.83441587685309,2.43577673381532,1.01205596717631,2.45597944113284,1.40425073836358,1.62586640549974,-3.50566982073585,-3.50566982073585,0.379201016872489,-2.37233429616946,-3.50566982073585,-0.313946163687456
06部位1,06,98.92,6.98886505848961,0,4.68968780260032,-3.44674098060873,2.47275815418477,-3.44674098060873,1.15843729268997,2.88677994588965,1.34663381392694,1.39562320112722,-1.13409746445058,0.797423947152637,1.90565169452019,-1.7319344652062,-3.44674098060873,-3.44674098060873
06部位2,06,98.84,3.45226457739423,0,4.10647822243087,-3.90778527884939,2.05392489853398,1.70355444423279,0.563426759884092,2.32287798587949,1.81370936332113,0.794630228175402,-1.03451677312427,-0.0151538561103043,1.51938274815068,-2.10495818482569,-3.90778527884939,-3.90778527884939
07,07,99.7,3.57701033556995,0,6.46566457341936,-1.97637472292804,-1.97637472292804,2.00471015862724,-1.97637472292804,2.62014835485987,0.165094668221553,3.11262483995767,-1.97637472292804,-1.97637472292804,1.44275518833865,-1.97637472292804,-1.97637472292804,-1.97637472292804
08,08,99.82,6.79137629799063,0,3.39589829074996,-3.51963372358165,-3.51963372358165,0.785232491235564,-3.51963372358165,0.68586001742236,-3.51963372358165,2.73595728608642,3.74939041919096,3.83456957475453,1.67134260595973,-0.601061869884327,-3.51963372358165,1.34097980239307
08严重风化点,08,98.24,8.15998717925213,0,1.86448997054209,-3.59251711315029,-3.59251711315029,1.49628303033028,-3.59251711315029,0.440622128857771,-3.59251711315029,1.48048491345369,3.81596255668363,3.75791550376307,2.35913330372497,-0.298616158902441,-3.59251711315029,3.04631031729841
09,09,99.77,0.649304514620621,0,6.36233193879096,-2.10468013054301,1.28061180094981,1.33020874208918,-2.10468013054301,2.08587627963046,0.668810259843818,2.24649947396334,-2.10468013054301,-2.10468013054301,0.758422418533505,-2.10468013054301,-2.10468013054301,-2.10468013054301
10,10,99.81,2.71434294692662,0,6.72251050357457,-1.76215005666905,2.06679186574267,0.58952572641705,-1.76215005666905,1.93945244336607,0.803099826715109,1.97582008753694,-1.76215005666905,-1.76215005666905,-1.76215005666905,-1.76215005666905,-1.76215005666905,-1.76215005666905
11,11,95.39,3.78381443559267,0,3.74434988959856,-3.72829763411399,-1.33052626229031,1.48573752345214,-0.112368822972414,1.21966267958811,-3.72829763411399,1.82546047402896,3.46447688169095,2.91182771173697,2.4687012489925,-0.764130787369505,-3.72829763411399,-3.72829763411399
12,12,99.57,0.805198677481068,0,6.36298087423475,-2.09832556134345,1.82655606561034,1.48810166778513,-2.09832556134345,2.19504217047741,0.578731378755551,2.31738102266966,-2.09832556134345,-2.09832556134345,-0.0805142501287127,-2.09832556134345,-2.09832556134345,-2.09832556134345
13,13,98.14,6.75584726385187,0,4.72690678720699,1.70002149096967,3.17732563504589,2.81252289179845,-3.28039757404005,2.46727664368334,1.70699016028577,2.20312506864175,-3.28039757404005,-3.28039757404005,0.888216766608413,-3.28039757404005,-3.28039757404005,-3.28039757404005
